,train,test,m1,m2,m3,m4
198,0.959316174373567,0.7147895024951,5.0,3.0,4.0,3.0
199,0.9458669538861506,0.7136301739006395,5.0,3.0,4.0,4.0
200,0.9047769144984733,0.72888176809631,5.0,4.0,0.0,0.0
201,0.90310796903446,0.7232441302820557,5.0,4.0,0.0,1.0
202,0.896415458848892,0.7244467773414754,5.0,4.0,0.0,2.0
203,0.9419740782147334,0.7241712572696152,5.0,4.0,0.0,3.0
204,0.9241718874607135,0.7234700298358366,5.0,4.0,0.0,4.0
205,0.9024861368841033,0.739755048068765,5.0,4.0,1.0,0.0
206,0.8922852895505032,0.7408236688974821,5.0,4.0,1.0,1.0
207,0.8887362301619698,0.7379084392602281,5.0,4.0,1.0,2.0
208,0.940089273273339,0.7185751590012229,5.0,4.0,1.0,3.0
209,0.9198063681128077,0.7127050406224779,5.0,4.0,1.0,4.0
210,0.8980350897101644,0.7268802526551904,5.0,4.0,2.0,0.0
211,0.8909941416900885,0.7273917972783007,5.0,4.0,2.0,1.0
212,0.8814133429438469,0.7074782740222357,5.0,4.0,2.0,2.0
213,0.9294859433031238,0.7094275248687012,5.0,4.0,2.0,3.0
214,0.9107210593135712,0.7100924459405968,5.0,4.0,2.0,4.0
215,0.9420176244080035,0.7180630260956606,5.0,4.0,3.0,0.0
216,0.9393128167989603,0.7336124663800452,5.0,4.0,3.0,1.0
217,0.9313684356755646,0.7088843142760535,5.0,4.0,3.0,2.0
218,0.9585829649364094,0.7143053421783612,5.0,4.0,3.0,3.0
219,0.946856206641519,0.7126753333294761,5.0,4.0,3.0,4.0
220,0.9235504147422983,0.7210405396674012,5.0,4.0,4.0,0.0
221,0.919479315499304,0.7352097835927275,5.0,4.0,4.0,1.0
222,0.9110936913625882,0.7137457547293945,5.0,4.0,4.0,2.0
223,0.9469342312553826,0.719297645562313,5.0,4.0,4.0,3.0
224,0.9298946047256766,0.7003239017056652,5.0,4.0,4.0,4.0
225,0.8331921053675927,0.7169723649297804,6.0,0.0,0.0,0.0
226,0.8302984124395235,0.7284331576705766,6.0,0.0,0.0,1.0
227,0.822299190752417,0.7418767682172657,6.0,0.0,0.0,2.0
228,0.88714353015007,0.7337992216065178,6.0,0.0,0.0,3.0
229,0.8619181113312561,0.7268920071087264,6.0,0.0,0.0,4.0
230,0.8881225587197527,0.729328403362021,6.0,0.0,0.0,5.0
231,0.8302541388550325,0.7332802418534948,6.0,0.0,1.0,0.0
232,0.8145973470734736,0.7383348192914406,6.0,0.0,1.0,1.0
233,0.8131106014162515,0.7335246171347568,6.0,0.0,1.0,2.0
234,0.8818657856095359,0.7368466264612241,6.0,0.0,1.0,3.0
235,0.8531298901856242,0.7331161541428589,6.0,0.0,1.0,4.0
236,0.8837458135659828,0.7277067388444074,6.0,0.0,1.0,5.0
237,0.8253130368001557,0.715445257724631,6.0,0.0,2.0,0.0
238,0.8126275790532341,0.7416904637663867,6.0,0.0,2.0,1.0
239,0.8021816103049613,0.7221868067148517,6.0,0.0,2.0,2.0
240,0.8767248382224806,0.7159729288116911,6.0,0.0,2.0,3.0
241,0.8494805033438179,0.7281639812443131,6.0,0.0,2.0,4.0
242,0.8776547102640283,0.7281249016672341,6.0,0.0,2.0,5.0
243,0.8867063141843868,0.7269007481816363,6.0,0.0,3.0,0.0
244,0.8798917743038593,0.7331415511193436,6.0,0.0,3.0,1.0
245,0.877449291883932,0.7230050017851415,6.0,0.0,3.0,2.0
246,0.9292464633587558,0.7237766636057718,6.0,0.0,3.0,3.0
247,0.9079907081393754,0.7246527761048314,6.0,0.0,3.0,4.0
248,0.9260255546915689,0.7278828379798382,6.0,0.0,3.0,5.0
249,0.864678576688859,0.736956982284246,6.0,0.0,4.0,0.0
250,0.8540460688160089,0.7354643760082494,6.0,0.0,4.0,1.0
251,0.8489821819133603,0.7291912747762413,6.0,0.0,4.0,2.0
252,0.9082872128443015,0.7238151693332456,6.0,0.0,4.0,3.0
253,0.8852096115838428,0.7143176744742944,6.0,0.0,4.0,4.0
254,0.9066578984582242,0.7184050543690166,6.0,0.0,4.0,5.0
255,0.8870773297213977,0.7306597961527247,6.0,0.0,5.0,0.0
256,0.8837443394982514,0.748011095468932,6.0,0.0,5.0,1.0
257,0.8795571286822298,0.7207166556747965,6.0,0.0,5.0,2.0
258,0.9271980001781186,0.7294198079067032,6.0,0.0,5.0,3.0
259,0.9078059562781999,0.7244378178169287,6.0,0.0,5.0,4.0
260,0.924949482904322,0.7246569485063259,6.0,0.0,5.0,5.0
261,0.8295767580258052,0.7306796911229744,6.0,1.0,0.0,0.0
262,0.8178144234356255,0.7297602070771637,6.0,1.0,0.0,1.0
263,0.8147237407670271,0.7360518480392676,6.0,1.0,0.0,2.0
264,0.8802276565537408,0.7377304418787768,6.0,1.0,0.0,3.0
265,0.8536739401548209,0.7378777561361248,6.0,1.0,0.0,4.0
266,0.8831924775229515,0.7323381308650007,6.0,1.0,0.0,5.0
267,0.8174579828654819,0.7320325678292533,6.0,1.0,1.0,0.0
268,0.7910781542859381,0.7388173226621154,6.0,1.0,1.0,1.0
269,0.7872383573245787,0.7376541705838968,6.0,1.0,1.0,2.0
270,0.867666868634536,0.737597983074907,6.0,1.0,1.0,3.0
271,0.834630515075847,0.7301222567026988,6.0,1.0,1.0,4.0
272,0.8696564760814088,0.7418163755652555,6.0,1.0,1.0,5.0
273,0.8137307305239764,0.7374431953698766,6.0,1.0,2.0,0.0
274,0.7898526281353729,0.7338803509463961,6.0,1.0,2.0,1.0
275,0.7788331151061296,0.7213323746678051,6.0,1.0,2.0,2.0
276,0.8667839844510542,0.7281182198469924,6.0,1.0,2.0,3.0
277,0.8312790854717926,0.7221707493931887,6.0,1.0,2.0,4.0
278,0.8669869424668507,0.7285256987423653,6.0,1.0,2.0,5.0
279,0.8813636011812168,0.7274130932861443,6.0,1.0,3.0,0.0
280,0.8656249224819802,0.7378442569706302,6.0,1.0,3.0,1.0
281,0.8660080847557564,0.7239585347141038,6.0,1.0,3.0,2.0
282,0.9236673442292659,0.7233244500573252,6.0,1.0,3.0,3.0
283,0.9025482260774096,0.730397286237614,6.0,1.0,3.0,4.0
284,0.921630045153719,0.7351675553487796,6.0,1.0,3.0,5.0
285,0.8538054174571483,0.735959079889934,6.0,1.0,4.0,0.0
286,0.8330003203858539,0.7431589693706213,6.0,1.0,4.0,1.0
287,0.8313822592511261,0.7267534199859814,6.0,1.0,4.0,2.0
288,0.9033909708865151,0.7259506053176668,6.0,1.0,4.0,3.0
289,0.8753885890835796,0.7189123397203484,6.0,1.0,4.0,4.0
290,0.9032458093570078,0.7264297026065449,6.0,1.0,4.0,5.0
291,0.8837528453988769,0.7456085531797544,6.0,1.0,5.0,0.0
292,0.8678865490609625,0.7445384671625295,6.0,1.0,5.0,1.0
293,0.8689667393626825,0.7239894124613621,6.0,1.0,5.0,2.0
294,0.9218943553033784,0.7318643211894152,6.0,1.0,5.0,3.0
295,0.9032470288649911,0.7318518341103347,6.0,1.0,5.0,4.0
296,0.9198949171191116,0.725955668938654,6.0,1.0,5.0,5.0
297,0.8237144539788979,0.7226409104089139,6.0,2.0,0.0,0.0
298,0.8135485737754798,0.7446000007610128,6.0,2.0,0.0,1.0
299,0.8017822831498975,0.7275812467622794,6.0,2.0,0.0,2.0
