,ensemble,score
346,svc+cgb+nb,0.7098123471092727
347,svc+cgb+knn,0.7173711645314087
348,svc+cgb+rf,0.7141069377425653
349,svc+cgb+hgb,0.7152697603585823
350,svc+cgb+lgb,0.7156198460336578
351,svc+cgb+xgb,0.7149880942763882
352,svc+xgb+log,0.7225484946609219
353,svc+xgb+lda,0.7238607415523355
354,svc+xgb+nb,0.7106937042424559
355,svc+xgb+knn,0.7159068677598303
356,svc+xgb+rf,0.7115640472904847
357,svc+xgb+hgb,0.7062746935896255
358,svc+xgb+lgb,0.7115153999644532
359,svc+xgb+cgb,0.7144150762500395
360,rf+log+lda,0.7195551694723944
361,rf+log+nb,0.7106762266800877
362,rf+log+knn,0.7154289816071923
363,rf+log+svc,0.7136980480953184
364,rf+log+hgb,0.7191090691518456
365,rf+log+lgb,0.7189420463266715
366,rf+log+cgb,0.7201569012929214
367,rf+log+xgb,0.7141772919038081
368,rf+lda+log,0.7207230328762351
369,rf+lda+nb,0.7195060964619152
370,rf+lda+knn,0.7239530803620683
371,rf+lda+svc,0.7212192266369367
372,rf+lda+hgb,0.723698860476593
373,rf+lda+lgb,0.7245335845109272
374,rf+lda+cgb,0.7295745886973019
375,rf+lda+xgb,0.7233358408462862
376,rf+nb+log,0.712141871005383
377,rf+nb+lda,0.7240064339577035
378,rf+nb+knn,0.7021584147846227
379,rf+nb+svc,0.7029782671000055
380,rf+nb+hgb,0.6984820624466712
381,rf+nb+lgb,0.700061656570808
382,rf+nb+cgb,0.7098402909683281
383,rf+nb+xgb,0.7071280165198356
384,rf+knn+log,0.718197520532197
385,rf+knn+lda,0.7247341418387517
386,rf+knn+nb,0.7063316394641831
387,rf+knn+svc,0.7028609924139372
388,rf+knn+hgb,0.7099463761626008
389,rf+knn+lgb,0.7085167864268064
390,rf+knn+cgb,0.7126469016363155
391,rf+knn+xgb,0.7115194259240434
392,rf+svc+log,0.7198847291136422
393,rf+svc+lda,0.7239821851121276
394,rf+svc+nb,0.7090928416201085
395,rf+svc+knn,0.7110110641743947
396,rf+svc+hgb,0.7163767251744174
397,rf+svc+lgb,0.7104700454503406
398,rf+svc+cgb,0.7174496596433549
399,rf+svc+xgb,0.7117086424495602
400,rf+hgb+log,0.72158204096726
401,rf+hgb+lda,0.725772141697226
402,rf+hgb+nb,0.7059171593052238
403,rf+hgb+knn,0.7144854393521796
404,rf+hgb+svc,0.717920017957943
405,rf+hgb+lgb,0.718766199870962
406,rf+hgb+cgb,0.716678455809575
407,rf+hgb+xgb,0.7092428089609297
408,rf+lgb+log,0.7211635947395374
409,rf+lgb+lda,0.7228467637597007
410,rf+lgb+nb,0.6969335256906409
411,rf+lgb+knn,0.7091275119913878
412,rf+lgb+svc,0.7118999156880002
413,rf+lgb+hgb,0.7143015659980169
414,rf+lgb+cgb,0.7154259600104009
415,rf+lgb+xgb,0.7129297375564355
416,rf+cgb+log,0.7180855430034649
417,rf+cgb+lda,0.7274617355259516
418,rf+cgb+nb,0.7025117413139885
419,rf+cgb+knn,0.7138668311420078
420,rf+cgb+svc,0.713287633531732
421,rf+cgb+hgb,0.7156809042262255
422,rf+cgb+lgb,0.7201251777360784
423,rf+cgb+xgb,0.7111461802576684
424,rf+xgb+log,0.7141066616581857
425,rf+xgb+lda,0.728718688592046
426,rf+xgb+nb,0.6984900841481378
427,rf+xgb+knn,0.7090527875369232
428,rf+xgb+svc,0.7124624180395266
429,rf+xgb+hgb,0.7077117200277565
430,rf+xgb+lgb,0.7101454143394448
431,rf+xgb+cgb,0.7067548892148439
432,hgb+log+lda,0.7262521578182318
433,hgb+log+nb,0.7156662712270805
434,hgb+log+knn,0.717491820507531
435,hgb+log+svc,0.7197559379693564
436,hgb+log+rf,0.7164884699189291
437,hgb+log+lgb,0.718374646507803
438,hgb+log+cgb,0.7236620232786619
439,hgb+log+xgb,0.7200482365543615
440,hgb+lda+log,0.727078391349736
441,hgb+lda+nb,0.7214037378379412
442,hgb+lda+knn,0.7223810371106774
443,hgb+lda+svc,0.7306020754582573
444,hgb+lda+rf,0.7236911465568862
445,hgb+lda+lgb,0.7254762619302431
446,hgb+lda+cgb,0.7232921260800336
447,hgb+lda+xgb,0.724372759489478
448,hgb+nb+log,0.7121350562880107
449,hgb+nb+lda,0.7198688366926211
450,hgb+nb+knn,0.7026272375732853
451,hgb+nb+svc,0.7098119657672479
452,hgb+nb+rf,0.706371322904389
453,hgb+nb+lgb,0.7083392299787603
454,hgb+nb+cgb,0.7064367624908492
455,hgb+nb+xgb,0.704784246820181
456,hgb+knn+log,0.7248762765115357
457,hgb+knn+lda,0.7239185234251133
458,hgb+knn+nb,0.7078218052565786
459,hgb+knn+svc,0.7163549200492033
460,hgb+knn+rf,0.709707004746549
461,hgb+knn+lgb,0.7119323439633279
462,hgb+knn+cgb,0.7148406310760788
463,hgb+knn+xgb,0.713968303942084
464,hgb+svc+log,0.7196724868872177
465,hgb+svc+lda,0.7324928986571523
466,hgb+svc+nb,0.7047421262621818
467,hgb+svc+knn,0.7123721451313425
468,hgb+svc+rf,0.714064682524236
469,hgb+svc+lgb,0.7195719288128088
470,hgb+svc+cgb,0.7206740402774796
471,hgb+svc+xgb,0.713971335889091
472,hgb+rf+log,0.7195564516739342
473,hgb+rf+lda,0.729813346613626
474,hgb+rf+nb,0.7074230978760969
475,hgb+rf+knn,0.7091859811605125
476,hgb+rf+svc,0.7178026398967369
477,hgb+rf+lgb,0.7080823657848371
478,hgb+rf+cgb,0.7116671003918615
479,hgb+rf+xgb,0.7156555956663861
480,hgb+lgb+log,0.7183384474366388
481,hgb+lgb+lda,0.7239700919539407
482,hgb+lgb+nb,0.7051786656127407
483,hgb+lgb+knn,0.7155210755766948
484,hgb+lgb+svc,0.7139598824690684
485,hgb+lgb+rf,0.7162026371492198
486,hgb+lgb+cgb,0.7076057179026437
487,hgb+lgb+xgb,0.7113716565166616
488,hgb+cgb+log,0.717872796261873
489,hgb+cgb+lda,0.7280660396027241
490,hgb+cgb+nb,0.7111991407139382
491,hgb+cgb+knn,0.7175207163126142
492,hgb+cgb+svc,0.7121074282722343
493,hgb+cgb+rf,0.7188014257536282
494,hgb+cgb+lgb,0.715744182440355
495,hgb+cgb+xgb,0.7027247678473454
496,hgb+xgb+log,0.7139040525407425
497,hgb+xgb+lda,0.7190568606197568
498,hgb+xgb+nb,0.7027682858438774
499,hgb+xgb+knn,0.7108938885296239
500,hgb+xgb+svc,0.7117805580426964
501,hgb+xgb+rf,0.7132238939411824
502,hgb+xgb+lgb,0.7130205214687191
503,hgb+xgb+cgb,0.7130690116432911
504,lgb+log+lda,0.7230483942654653
505,lgb+log+nb,0.722559927337947
506,lgb+log+knn,0.7198731108895571
507,lgb+log+svc,0.7190419485293927
508,lgb+log+rf,0.7165210805460537
509,lgb+log+hgb,0.7251648811504391
510,lgb+log+cgb,0.7228709817246443
511,lgb+log+xgb,0.7168896726146267
512,lgb+lda+log,0.7234158704576608
513,lgb+lda+nb,0.7203979431018033
514,lgb+lda+knn,0.7279979967171917
515,lgb+lda+svc,0.7337546664618415
516,lgb+lda+rf,0.7234815024692332
517,lgb+lda+hgb,0.7292731878415902
518,lgb+lda+cgb,0.7264282865450367
519,lgb+lda+xgb,0.728737709534454
520,lgb+nb+log,0.7121961781459001
521,lgb+nb+lda,0.7247660723873395
522,lgb+nb+knn,0.7029639303837419
523,lgb+nb+svc,0.7084091938653256
524,lgb+nb+rf,0.7095913105898595
525,lgb+nb+hgb,0.7057629143165458
526,lgb+nb+cgb,0.704955494017749
527,lgb+nb+xgb,0.7073357529136259
528,lgb+knn+log,0.7207594129065062
529,lgb+knn+lda,0.7261004489426425
530,lgb+knn+nb,0.7082057836355818
531,lgb+knn+svc,0.7123829166591819
532,lgb+knn+rf,0.7107004186211759
533,lgb+knn+hgb,0.7145661837525928
534,lgb+knn+cgb,0.7131827943848645
535,lgb+knn+xgb,0.7081622184207772
536,lgb+svc+log,0.7232702104259107
537,lgb+svc+lda,0.7279474008015189
538,lgb+svc+nb,0.7112509142793957
539,lgb+svc+knn,0.7101950975876916
540,lgb+svc+rf,0.710878331463177
541,lgb+svc+hgb,0.7168843304786934
542,lgb+svc+cgb,0.7136582179881714
543,lgb+svc+xgb,0.7165269268923065
544,lgb+rf+log,0.7217916374600937
545,lgb+rf+lda,0.7278535450542546
546,lgb+rf+nb,0.6992935888907007
547,lgb+rf+knn,0.7064448116658945
548,lgb+rf+svc,0.7081362845029314
549,lgb+rf+hgb,0.7009482083533062
550,lgb+rf+cgb,0.7074325118431048
551,lgb+rf+xgb,0.7039295576903437
552,lgb+hgb+log,0.7197302115864316
553,lgb+hgb+lda,0.7250005345901054
554,lgb+hgb+nb,0.6991174684356987
555,lgb+hgb+knn,0.7139996452877913
556,lgb+hgb+svc,0.7204030860006356
557,lgb+hgb+rf,0.7175246822022107
558,lgb+hgb+cgb,0.7090159285954067
559,lgb+hgb+xgb,0.7124202650624999
560,lgb+cgb+log,0.7150563816672918
561,lgb+cgb+lda,0.7308370837073789
562,lgb+cgb+nb,0.7091408429884355
563,lgb+cgb+knn,0.7150534464095801
564,lgb+cgb+svc,0.7120708755309128
565,lgb+cgb+rf,0.7106848656107179
566,lgb+cgb+hgb,0.7157266496205223
567,lgb+cgb+xgb,0.7060176358042722
568,lgb+xgb+log,0.7192579407657165
569,lgb+xgb+lda,0.7274465070276273
570,lgb+xgb+nb,0.7071410504768395
571,lgb+xgb+knn,0.7157599432982115
572,lgb+xgb+svc,0.7195075332497016
573,lgb+xgb+rf,0.7119216972604793
574,lgb+xgb+hgb,0.7074974359948389
575,lgb+xgb+cgb,0.7105194796826441
576,cgb+log+lda,0.7264311129630154
577,cgb+log+nb,0.7141419936281114
578,cgb+log+knn,0.7191683295377651
579,cgb+log+svc,0.7222538961938958
580,cgb+log+rf,0.7168365598994229
581,cgb+log+hgb,0.7285758334427213
582,cgb+log+lgb,0.7093931833975163
583,cgb+log+xgb,0.7201633176126869
584,cgb+lda+log,0.7285269474539489
585,cgb+lda+nb,0.720842095418248
586,cgb+lda+knn,0.723857140842816
587,cgb+lda+svc,0.7250707392792595
588,cgb+lda+rf,0.7191640011573288
589,cgb+lda+hgb,0.727579600466596
590,cgb+lda+lgb,0.7268891115940109
591,cgb+lda+xgb,0.7248807366290784
592,cgb+nb+log,0.7154187604476766
593,cgb+nb+lda,0.7151331056872317
594,cgb+nb+knn,0.7081379103616458
595,cgb+nb+svc,0.7135363451793315
596,cgb+nb+rf,0.6989834831696671
597,cgb+nb+hgb,0.7062713634574502
598,cgb+nb+lgb,0.6992523644381333
599,cgb+nb+xgb,0.7031906189092942
600,cgb+knn+log,0.7208792264133054
601,cgb+knn+lda,0.7289976786612936
602,cgb+knn+nb,0.707824766009544
603,cgb+knn+svc,0.7111965253084878
604,cgb+knn+rf,0.7146967586359332
605,cgb+knn+hgb,0.7134380103438274
606,cgb+knn+lgb,0.7112150891393684
607,cgb+knn+xgb,0.7154771830029938
608,cgb+svc+log,0.7240001108496122
609,cgb+svc+lda,0.7323158049352925
610,cgb+svc+nb,0.706088566746674
611,cgb+svc+knn,0.7150511685058716
612,cgb+svc+rf,0.7144719522000225
613,cgb+svc+hgb,0.7121409362738451
614,cgb+svc+lgb,0.7206760382268061
615,cgb+svc+xgb,0.7197924289741113
616,cgb+rf+log,0.7169254683611521
617,cgb+rf+lda,0.7242930770430637
618,cgb+rf+nb,0.7071515404588816
619,cgb+rf+knn,0.7083321851526103
620,cgb+rf+svc,0.7118407008709108
621,cgb+rf+hgb,0.7126615578743857
622,cgb+rf+lgb,0.70523912552966
623,cgb+rf+xgb,0.7057166250731284
624,cgb+hgb+log,0.7186654955758403
625,cgb+hgb+lda,0.7273950209282838
626,cgb+hgb+nb,0.7015102981169481
627,cgb+hgb+knn,0.7086182875221528
628,cgb+hgb+svc,0.7153243491150414
